site,threshold,source,metric,pct_type,value
01015800,20,mod,pct_bias,fixed,12.360772343076023
01015800,20,mod,sd_ratio,fixed,0.9680351023403024
01015800,20,mod,bias,variable,-0.5057306888277342
01015800,20,mod,pct_bias,variable,-3.873457794254697
01015800,20,mod,sd_ratio,variable,0.6792025250390284
01015800,30,mod,rho_obs,fixed,0.5534147653321478
01015800,30,mod,nse,fixed,-3.177721570524469
01015800,30,mod,rho_obs,variable,0.8229883182277011
01015800,30,mod,nse,variable,0.2702018132052293
01015800,30,mod,bias,fixed,0.6056997881771462
01015800,30,mod,pct_bias,fixed,7.928673808757285
01015800,30,mod,sd_ratio,fixed,0.9315992352891008
01015800,30,mod,bias,variable,-1.1737688715140262
01015800,30,mod,pct_bias,variable,-7.630951438144357
01015800,30,mod,sd_ratio,variable,0.6552955571535987
