rho_obs_mod,quant_length,mod_nse,threshold,site,pct_type
0.016801463140739423,587,-17.732222969318133,5,01015800,weibull_site
0.7751471796341242,366,-0.7337562840900875,5,01015800,weibull_jd
0.16175487909715233,1169,-10.084987177627616,10,01015800,weibull_site
0.8090233243953375,1107,0.2124716717890327,10,01015800,weibull_jd
0.2729679956849917,2345,-7.844273106686755,20,01015800,weibull_site
0.7986157027866152,2204,0.45351373978662135,20,01015800,weibull_jd
0.30922787699453397,3519,-5.438690326234574,30,01015800,weibull_site
0.789739817359456,3299,0.5444562147512099,30,01015800,weibull_jd
