rho_obs_mod,quant_length,mod_nse,threshold,site,pct_type
0.5347082653298415,587,-12.560932523268729,5,01015800,weibull_site
0.7499815451398048,366,-0.4556483464082859,5,01015800,weibull_jd
0.48635342280175986,1169,-6.612448246056819,10,01015800,weibull_site
0.784621682132524,1107,-0.03821939159384535,10,01015800,weibull_jd
0.5196122307563394,2345,-5.243841450460906,20,01015800,weibull_site
0.8129054069976003,2204,0.14184680172076436,20,01015800,weibull_jd
0.5534147653321478,3519,-3.1777215705244686,30,01015800,weibull_site
0.8229883182277011,3299,0.2702018132052293,30,01015800,weibull_jd
