pct_type,threshold,site,mod_kappa,mod_classification_accuracy
jd,5,01011000,0.27274335282408013,0.9559377138945927
jd,10,01011000,0.3868468949462879,0.8957905544147844
jd,20,01011000,0.4776049016263406,0.8407768651608487
jd,30,01011000,0.5184280999563332,0.8051848049281314
site,5,01011000,0.33347720548632476,0.9365160848733745
site,10,01011000,0.4248730209357118,0.8963039014373717
site,20,01011000,0.5497084433985611,0.8557494866529775
site,30,01011000,0.5989032512410055,0.8315366187542779
